,Open,High,Close,Volume,MA5,MA10,MA20,VMA5,VMA10,VMA20,price_change
474,-0.02866206403805749,-0.024168069838473527,-0.019383733939320247,-0.028261542952461194,-0.014801297553308279,-0.011469595730047466,-0.021814677457411946,0.17468241469456713,0.026347684493704282,0.028759687191076022,2.64175422031177
473,-0.014278413692749847,-0.021478763393915523,-0.041484321939282975,0.21753270040331962,-0.02102224944271258,-0.013738952713967079,-0.02389864123918284,0.05380254258032857,0.060507238476043446,0.015543278825326023,-34.518518402020604
472,-0.04350970310418156,-0.04485047078225668,-0.06529186592298275,0.19659147066938676,-0.03382057752332146,-0.01796609819820527,-0.026554364951011156,0.09676418573379553,0.10498921990935384,0.026637053587184933,-37.983249841915935
471,-0.06379050041728429,-0.0569894948994053,-0.06774748681186749,0.058044431370969374,-0.042982778693128054,-0.024326289454787764,-0.028443495729092216,0.03531900873083349,0.12153891257641636,0.030657355936821507,-4.868084440612666
470,-0.054316150085775616,-0.05011021929813264,-0.044149569001609046,0.3298750746233283,-0.04745156069553125,-0.028393156921019846,-0.027783311589667514,0.15483679242375104,0.18866651869349105,0.0325405676932502,35.7570094329955
469,-0.045171082072265833,-0.043379524163409955,-0.03871426179023618,0.06751198484057741,-0.051318315095733924,-0.03283750158853749,-0.028001374682258384,0.1739928310595218,0.175478392786921,0.03868166504012294,7.337615041892688
468,-0.04506631042562992,-0.02195422088687604,-0.016269287933905363,0.22528947414363243,-0.04627446195093032,-0.03342618627149485,-0.026507155415501527,0.1755442937745577,0.11575622934692698,0.05658599146250376,32.93787488915272
467,-0.009758265509312913,-8.885977416550617e-06,0.0057264869793367534,-0.05882854565533502,-0.03206840763632035,-0.03272216133258887,-0.023305899293342813,0.12445673530392609,0.11168932486781213,0.052777632606070934,31.515609849426056
466,0.001841452511096353,0.008564206942528019,0.005666593786924912,0.07425414464865998,-0.01738312736971015,-0.02995998689143542,-0.021225682300104687,0.12769890358338243,0.0825595508501602,0.05741419560831762,-1.0875689316130883
465,0.013890191874231128,0.0084750586625979,0.0032109728980400654,0.09829697885364319,-0.007909429331103501,-0.027456953544815366,-0.01923314015852695,0.0813800610808022,0.11919457474274431,0.060882286301567445,-4.5948237877042395
464,0.00199112629200493,-0.0017027032960884592,-0.0012810165328466239,-0.01458987135772083,-0.0004215238310981695,-0.025645961733885447,-0.01804016268978237,0.06495854706075166,0.12056316523056676,0.075421282512252,-7.5987263237587275
463,-0.0009424798138017998,0.001551208921360292,0.005067661862806716,-0.1975840328655719,0.0038465823039046665,-0.020988911659294174,-0.01684568650562468,-0.019622040341406022,0.0790082749926928,0.0717168427114292,8.317573846584635
